Node Number	Total Deformation (m)
1182	0.20616
1183	0.20653
1184	0.20641
1185	0.20661
1186	0.20638
1187	0.20745
1188	0.20766
1189	0.26698
1190	0.26707
1191	0.26698
1192	0.26692
1193	0.2676
1194	0.26767
1195	0.26728
1196	0.26746
1197	0.26791
1198	0.26796
1199	0.26776
1200	0.26776
1201	0.26816
1202	0.26815
1203	0.26794
1204	0.26765
1205	0.26751
1206	0.26752
1207	0.26804
1208	0.26765
1209	0.26744
1210	0.2672
1211	0.26754
1212	0.26744
1213	0.26689
1214	0.26688
1215	0.26717
1216	0.26694
1217	0.26689
1218	0.26683
1219	0.2667
1220	0.26691
1221	0.20786
1222	0.20781
1223	0.20777
1224	0.20774
1225	0.20771
1226	0.20768
1227	0.20766
1228	0.20765
1229	0.20764
1230	0.20764
1231	0.20763
1232	0.20763
1233	0.20765
1234	0.20765
1235	0.20765
1236	0.20767
1237	0.2077
1238	0.20775
1239	0.2078
1240	0.20784
1241	0.20789
1242	0.20793
1243	0.20799
1244	0.20804
1245	0.2081
1246	0.20816
1247	0.20822
1248	0.20828
1249	0.20834
1250	0.20838
1251	0.20843
1252	0.20847
1253	0.20851
1254	0.20856
1255	0.20861
1256	0.20864
1257	0.20868
1258	0.20871
1259	0.20873
1260	0.20876
1261	0.20878
1262	0.20879
1263	0.20879
1264	0.20879
1265	0.20878
1266	0.20875
1267	0.20873
1268	0.20869
1269	0.20866
1270	0.20863
1271	0.2086
1272	0.20855
1273	0.20851
1274	0.20846
1275	0.20841
1276	0.20836
1277	0.20831
1278	0.20826
1279	0.2082
1280	0.20815
1281	0.20809
1282	0.20803
1283	0.20798
1284	0.20791
1285	0.21898
1286	0.21852
1287	0.21871
1288	0.21828
1289	0.21817
1290	0.21936
1291	0.21898
1292	0.21917
1293	0.21845
1294	0.21964
1295	0.21922
1296	0.21921
1297	0.21876
1298	0.21934
1299	0.21919
1300	0.21931
1301	0.21858
1302	0.21928
1303	0.21906
1304	0.21878
1305	0.21883
1306	0.21859
1307	0.21851
1308	0.21846
1309	0.21827
1310	0.21832
1311	0.21813
1312	0.21769
1313	0.21791
1314	0.21809
1315	0.21797
1316	0.21766
1317	0.20759
1318	0.20752
1319	0.20747
1320	0.20742
1321	0.20739
1322	0.20736
1323	0.20734
1324	0.20731
1325	0.2073
1326	0.20729
1327	0.20728
1328	0.20726
1329	0.20729
1330	0.20731
1331	0.20731
1332	0.20729
1333	0.20732
1334	0.20737
1335	0.20742
1336	0.20746
1337	0.2075
1338	0.20756
1339	0.20762
1340	0.20767
1341	0.20774
1342	0.2078
1343	0.20787
1344	0.20793
1345	0.20801
1346	0.20808
1347	0.20814
1348	0.2082
1349	0.20825
1350	0.20831
1351	0.20836
1352	0.20839
1353	0.20843
1354	0.20847
1355	0.2085
1356	0.20852
1357	0.20856
1358	0.20857
1359	0.20859
1360	0.20859
1361	0.20859
1362	0.20858
1363	0.20855
1364	0.20852
1365	0.20848
1366	0.20844
1367	0.20841
1368	0.20835
1369	0.2083
1370	0.20825
1371	0.2082
1372	0.20813
1373	0.20807
1374	0.20802
1375	0.20796
1376	0.2079
1377	0.20785
1378	0.20779
1379	0.20773
1380	0.20766
1381	0.20529
1382	0.2052
1383	0.20509
1384	0.20541
1385	0.20487
1386	0.20484
1387	0.20573
1388	0.20566
1389	0.20554
1390	0.20566
1391	0.20619
1392	0.20617
1393	0.20606
1394	0.20618
1395	0.20597
1396	0.20609
1397	0.20615
1398	0.20573
1399	0.20569
1400	0.20588
1401	0.20596
1402	0.20551
1403	0.20476
1404	0.20509
1405	0.20533
1406	0.20473
1407	0.20473
1408	0.20486
1409	0.20495
1410	0.20467
1411	0.20462
1412	0.20458
1413	0.20622
1414	0.20613
1415	0.20607
1416	0.20606
1417	0.20596
1418	0.20597
1419	0.20591
